order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source,timestamp_saved
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,DB,2024-05-02 09:21:33.704821
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,DB,2024-05-02 09:21:33.704821
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,DB,2024-05-02 09:21:33.704821
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,DB,2024-05-02 09:21:33.704821
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,DB,2024-05-02 09:21:33.704821
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,DB,2024-05-02 09:21:33.704821
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,DB,2024-05-02 09:21:33.704821
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,DB,2024-05-02 09:21:33.704821
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,DB,2024-05-02 09:21:33.704821
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,DB,2024-05-02 09:21:33.704821
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,DB,2024-05-02 09:21:33.704821
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,DB,2024-05-02 09:21:33.704821
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,DB,2024-05-02 09:21:33.704821
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,DB,2024-05-02 09:21:33.704821
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,DB,2024-05-02 09:21:33.704821
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,DB,2024-05-02 09:21:33.704821
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,DB,2024-05-02 09:21:33.704821
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,DB,2024-05-02 09:21:33.704821
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,DB,2024-05-02 09:21:33.704821
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,DB,2024-05-02 09:21:33.704821
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,DB,2024-05-02 09:21:33.704821
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,DB,2024-05-02 09:21:33.704821
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,DB,2024-05-02 09:21:33.704821
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,DB,2024-05-02 09:21:33.704821
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,DB,2024-05-02 09:21:33.704821
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,DB,2024-05-02 09:21:33.704821
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,DB,2024-05-02 09:21:33.704821
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,DB,2024-05-02 09:21:33.704821
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,DB,2024-05-02 09:21:33.704821
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,DB,2024-05-02 09:21:33.704821
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,DB,2024-05-02 09:21:33.704821
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,DB,2024-05-02 09:21:33.704821
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,DB,2024-05-02 09:21:33.704821
