product_id,product_name,brand_id,category_id,model_year,list_price,source,timestamp_saved
1,Trek 820 - 2016,9,6,2016,379.99,DL,2024-05-02 09:24:16.545091
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,DL,2024-05-02 09:24:16.545091
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,DL,2024-05-02 09:24:16.545091
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,DL,2024-05-02 09:24:16.545091
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,DL,2024-05-02 09:24:16.545091
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,DL,2024-05-02 09:24:16.545091
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,DL,2024-05-02 09:24:16.545091
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,DL,2024-05-02 09:24:16.545091
9,Trek Conduit+ - 2016,9,5,2016,2999.99,DL,2024-05-02 09:24:16.545091
10,Surly Straggler - 2016,8,4,2016,1549.0,DL,2024-05-02 09:24:16.545091
11,Surly Straggler 650b - 2016,8,4,2016,1680.99,DL,2024-05-02 09:24:16.545091
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,DL,2024-05-02 09:24:16.545091
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,DL,2024-05-02 09:24:16.545091
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,DL,2024-05-02 09:24:16.545091
15,Electra Moto 1 - 2016,1,3,2016,529.99,DL,2024-05-02 09:24:16.545091
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,DL,2024-05-02 09:24:16.545091
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,DL,2024-05-02 09:24:16.545091
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,DL,2024-05-02 09:24:16.545091
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449.0,DL,2024-05-02 09:24:16.545091
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,DL,2024-05-02 09:24:16.545091
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,DL,2024-05-02 09:24:16.545091
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,DL,2024-05-02 09:24:16.545091
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,DL,2024-05-02 09:24:16.545091
24,Electra Townie Original 21D - 2016,1,2,2016,549.99,DL,2024-05-02 09:24:16.545091
25,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99,DL,2024-05-02 09:24:16.545091
26,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,DL,2024-05-02 09:24:16.545091
27,Surly Big Dummy Frameset - 2017,8,6,2017,999.99,DL,2024-05-02 09:24:16.545091
28,Surly Karate Monkey 27.5+ Frameset - 2017,8,6,2017,2499.99,DL,2024-05-02 09:24:16.545091
29,Trek X-Caliber 8 - 2017,9,6,2017,999.99,DL,2024-05-02 09:24:16.545091
30,Surly Ice Cream Truck Frameset - 2017,8,6,2017,999.99,DL,2024-05-02 09:24:16.545091
31,Surly Wednesday - 2017,8,6,2017,1632.99,DL,2024-05-02 09:24:16.545091
32,Trek Farley Alloy Frameset - 2017,9,6,2017,469.99,DL,2024-05-02 09:24:16.545091
33,Surly Wednesday Frameset - 2017,8,6,2017,469.99,DL,2024-05-02 09:24:16.545091
34,Trek Session DH 27.5 Carbon Frameset - 2017,9,6,2017,469.99,DL,2024-05-02 09:24:16.545091
35,Sun Bicycles Spider 3i - 2017,7,6,2017,832.99,DL,2024-05-02 09:24:16.545091
